slug,name,desc,higher_level,page,range,target_range_sort,components,requires_verbal_components,requires_somatic_components,requires_material_components,material,can_be_cast_as_ritual,ritual,duration,concentration,requires_concentration,casting_time,level,level_int,spell_level,school,dnd_class,spell_lists,archetype,circles,document__slug,document__title,document__license_url,document__url
altheas-travel-tent,Althea’s Travel Tent,"You touch an ordinary, properly pitched canvas tent to create a space where you and a companion can sleep in comfort. From the outside, the tent appears normal, but inside it has a small foyer and a larger bedchamber. The foyer contains a writing desk with a chair; the bedchamber holds a soft bed large enough to sleep two, a small nightstand with a candle, and a small clothes rack. The floor of both rooms is a clean, dry, hard-packed version of the local ground. When the spell ends, the tent and the ground return to normal, and any creatures inside the tent are expelled to the nearest unoccupied spaces.
","When the spell is cast using a 3rd-level slot, the foyer becomes a dining area with seats for six and enough floor space for six people to sleep, if they bring their own bedding. The sleeping room is unchanged. With a 4th-level slot, the temperature inside the tent is comfortable regardless of the outside temperature, and the dining area includes a small kitchen. With a 5th-level slot, an unseen servant is conjured to prepare and serve food (from your supplies). With a 6th-level slot, a third room is added that has three two-person beds. With a slot of 7th level or higher, the dining area and second sleeping area can each accommodate eight persons.",,Touch,1,"V, S, M",True,True,True,a canvas tent,True,yes,8 hours,no,False,5 minutes,2nd-level,2,2,conjuration,"Sorcerer, Wizard","['sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ambush,Ambush,"The forest floor swirls and shifts around you to welcome you into its embrace. While in a forest, you have advantage on Dexterity (Stealth) checks to Hide. While hidden in a forest, you have advantage on your next Initiative check. The spell ends if you attack or cast a spell.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The spell ends if you or any target of this spell attacks or casts a spell.",,Self,0,"S, M",False,True,True,,False,no,Up to 1 hour,yes,True,1 action,1st-level,1,1,illusion,"Druid, Ranger, Sorceror, Wizard","['druid', 'ranger', 'wizard']",,,kp,Kobold Press Compilation,http://open5e.com/legal,https://koboldpress.com
ambush-chute,Ambush Chute,"You touch a wooden, plaster, or stone surface and create a passage with two trapdoors. The first trapdoor appears where you touch the surface, and the other appears at a point you can see up to 30 feet away. The two trapdoors can be wooden with a metal ring handle, or they can match the surrounding surfaces, each with a small notch for opening the door. The two trapdoors are connected by an extradimensional passage that is up to 5 feet wide, up to 5 feet tall, and up to 30 feet long. The trapdoors don't need to be on the same surface, allowing the passage to connect two separated locations, such as the two sides of a chasm or river. The passage is always straight and level for creatures inside it, and the creatures exit the tunnel in such a way that allows them to maintain the same orientation as when they entered the passage. No more than five creatures can transit the passage at the same time.
  When the spell ends and the trapdoors disappear, any creatures or objects still in the passage created by the spell are safely ejected to an unoccupied space nearest the end of the passage closest to them.","When you cast this spell using a spell slot of 4th level or higher, the length of the passage and the distance you can place the second trapdoor increases by 10 feet for each slot level above 3rd.",,Touch,1,"V, S",True,True,False,,False,no,Up to 10 minutes,yes,True,1 action,3rd-level,3,3,conjuration,"Sorceror, Warlock, Wizard",[],,,toh,Tome of Heroes,http://open5e.com/legal,https://koboldpress.com/kpstore/product/tome-of-heroes-for-5th-edition/
amplify-gravity,Amplify Gravity,"This spell intensifies gravity in a 50-foot-radius area within range. Inside the area, damage from falling is quadrupled (2d6 per 5 feet fallen) and maximum damage from falling is 40d6. Any creature on the ground in the area when the spell is cast must make a successful Strength saving throw or be knocked prone; the same applies to a creature that enters the area or ends its turn in the area. A prone creature in the area must make a successful Strength saving throw to stand up. A creature on the ground in the area moves at half speed and has disadvantage on Dexterity checks and ranged attack rolls.",,,100 feet,100,"V, S, M",True,True,True,a piece of lead,False,no,Up to 1 minute,yes,True,1 action,7th-level,7,7,transmutation,"Sorcerer, Warlock, Wizard","['sorcerer', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
amplify-ley-field,Amplify Ley Field,"You create a faintly shimmering field of charged energy around yourself. Within that area, the intensity of ley lines you're able to draw on increases from weak to strong, or from strong to titanic. If no ley lines are near enough for you to draw on, you can treat the area of the spell itself as an unlocked, weak ley line.",,,Self,0,"V, S",True,True,False,,False,no,10 Minutes,no,False,1 action,5th-level,5,5,evocation,"Sorceror, Warlock, Wizard, Druid","['druid', 'warlock', 'wizard']",,,dmag-e,Deep Magic Extended,http://open5e.com/legal,https://koboldpress.com
analyze-device,Analyze Device,"You discover all mechanical properties, mechanisms, and functions of a single construct or clockwork device, including how to activate or deactivate those functions, if appropriate.",,,Touch,1,"V, S, M",True,True,True,a set of clockworker’s tools,False,no,Instantaneous,no,False,1 hour,1st-level,1,1,divination,"Bard, Sorcerer, Wizard","['bard', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ancestors-strength,Ancestor’s Strength,"Choose a willing creature you can see and touch. Its muscles bulge and become invigorated. For the duration, the target is considered one size category larger for determining its carrying capacity, the maximum weight it can lift, push, or pull, and its ability to break objects. It also has advantage on Strength checks.",,,Touch,1,"V, S",True,True,False,,False,no,Up to 8 hours,yes,True,1 action,1st-level,1,1,transmutation,"Cleric, Druid, Paladin","['cleric', 'druid']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
anchoring-rope,Anchoring Rope,"You create a spectral lanyard. One end is tied around your waist, and the other end is magically anchored in the air at a point you select within range. You can choose to make the rope from 5 to 30 feet long, and it can support up to 800 pounds. The point where the end of the rope is anchored in midair can’t be moved after the spell is cast. If this spell is cast as a reaction while you are falling, you stop at a point of your choosing in midair and take no falling damage. You can dismiss the rope as a bonus action.
","When you cast this spell using a spell slot of 3rd level or higher, you can create one additional rope for every two slot levels above 1st. Each rope must be attached to a different creature.",,30 feet,30,"V, S",True,True,False,,False,no,5 minutes,no,False,"1 action, or 1 reaction that you take while falling",1st-level,1,1,evocation,"Bard, Druid, Ranger","['druid', 'ranger', 'bard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
ancient-shade,Ancient Shade,"You grant the semblance of life and intelligence to a pile of bones (or even bone dust) of your choice within range, allowing the ancient spirit to answer the questions you pose. These remains can be the remnants of undead, including animated but unintelligent undead, such as skeletons and zombies. (Intelligent undead are not affected.) Though it can have died centuries ago, the older the spirit called, the less it remembers of its mortal life.

Until the spell ends, you can ask the ancient spirit up to five questions if it died within the past year, four questions if it died within ten years, three within one hundred years, two within one thousand years, and but a single question for spirits more than one thousand years dead. The ancient shade knows only what it knew in life, including languages. Answers are usually brief, cryptic, or repetitive, and the corpse is under no compulsion to offer a truthful answer if you are hostile to it or it recognizes you as an enemy. This spell doesn’t return the creature’s soul to its body, only its animating spirit. Thus, the corpse can’t learn new information, doesn’t comprehend anything that has happened since it died, and can’t speculate about future events.",,,10 feet,10,"V, S, M",True,True,True,burning candles of planar origin worth 500 gp,False,no,10 minutes,no,False,1 action,5th-level,5,5,necromancy,"Cleric, Wizard","['cleric', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
angel-paradox-a5e,Angel Paradox,"The target is bombarded with a fraction of energy stolen from some slumbering, deific source, immediately taking 40 radiant damage. This spell ignores resistances but does not ignore immunities. A creature killed by this spell does not decay and cannot become undead for the spell's duration. Days spent under the influence of this spell don't count against the time limit of spells such as _raise dead_. This effect ends early if the corpse takes necrotic damage.","The damage and duration increase to 45 radiant damage and 1 year when using an 8th-level spell slot, or 50 damage and until dispelled when using a 9th-level spell slot.",,30 feet,30,V,True,False,False,,False,no,7 days,no,False,1 action,7th-level,7,7,Evocation,"Cleric, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
angelic-guardian,Angelic Guardian,"You conjure a minor celestial manifestation to protect a creature you can see within range. A faintly glowing image resembling a human head and shoulders hovers within 5 feet of the target for the duration. The manifestation moves to interpose itself between the target and any incoming attacks, granting the target a +2 bonus to AC.

Also, the first time the target gets a failure on a Dexterity saving throw while the spell is active, it can use its reaction to reroll the save. The spell then ends.",,,30 feet,30,"V, S",True,True,False,,False,no,Up to 1 minute,yes,True,1 action,1st-level,1,1,conjuration,"Cleric, Paladin, Warlock, Wizard","['cleric', 'warlock', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
animal-friendship,Animal Friendship,"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a Wisdom saving throw or be charmed by you for the spell's duration. If you or one of your companions harms the target, the spells ends.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.",phb 212,30 feet,30,"V, S, M",True,True,True,A morsel of food.,False,no,24 hours,no,False,1 action,1st-level,1,1,Enchantment,"Bard, Druid, Ranger, Ritual Caster","['druid', 'ranger', 'bard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
animal-friendship-a5e,Animal Friendship,"You allow your inner beauty to shine through in song and dance whether to call a bird from its tree or a badger from its sett. Until the spell ends or one of your companions harms it (whichever is sooner), the target is charmed by you.",Choose one additional target for each slot level above 1st.,,30 feet,30,"V, S, M",True,True,True,,False,no,24 hours,no,False,1 action,1st-level,1,1,Enchantment,"Bard, Druid",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
animal-messenger,Animal Messenger,"By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as ""a man or woman dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals. 

When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell.","If you cast this spell using a spell slot of 3nd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.",phb 212,30 feet,30,"V, S, M",True,True,True,A morsel of food.,True,yes,24 hours,no,False,1 action,2nd-level,2,2,Enchantment,"Bard, Druid, Ranger, Ritual Caster","['druid', 'ranger', 'bard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
animal-messenger-a5e,Animal Messenger,"You call a Tiny beast to you, whisper a message to it, and then give it directions to the message's recipient. It is now your messenger.

Specify a location you have previously visited and a recipient who matches a general description, such as ""a person wearing a pointed red hat in Barter Town"" or ""a half-orc in a wheelchair at the Striped Lion Inn."" Speak a message of up to 25 words. For the duration of the spell, the messenger travels towards the location at a rate of 50 miles per day for a messenger with a flying speed, or else 25 miles without.

When the messenger arrives, it delivers your message to the first creature matching your description, replicating the sound of your voice exactly. If the messenger can't find the recipient or reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell.",The duration of the spell increases by 48 hours for each slot level above 2nd.,,30 feet,30,"V, S, M",True,True,True,,True,yes,24 hours,no,False,1 action,2nd-level,2,2,Enchantment,"Bard, Druid",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
animal-shapes,Animal Shapes,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms. 

The transformation lasts for the duration for each target, or until the target drops to 0 hit points or dies. You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen beast, though the target retains its alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the hit points of its new form, and when it reverts to its normal form, it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 hit points, it isn't knocked unconscious. The creature is limited in the actions it can perform by the nature of its new form, and it can't speak or cast spells. 

The target's gear melds into the new form. The target can't activate, wield, or otherwise benefit from any of its equipment.",,phb 212,30 feet,30,"V, S",True,True,False,,False,no,Up to 24 hours,yes,True,1 action,8th-level,8,8,Transmutation,Druid,['druid'],,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
animal-shapes-a5e,Animal Shapes,"You transform the bodies of creatures into beasts without altering their minds. Each target transforms into a Large or smaller beast with a Challenge Rating of 4 or lower. Each target may have the same or a different form than other targets.

On subsequent turns, you can use your action to transform targets into new forms, gaining new hit points when they do so.

Until the spell ends or it is dropped to 0 hit points, the target's game statistics (including its hit points) are replaced by the statistics of the chosen beast excepting its Intelligence, Wisdom, and Charisma scores. The target is limited to actions that it is physically capable of doing, and it can't speak or cast spells. The target's gear melds into the new form. Equipment that merges with a target's form has no effect until it leaves the form.

When the target reverts to its normal form, it returns to the number of hit points it had before it transformed. If the spell's effect on the target end early from dropping to 0 hit points, any excess damage carries over to its normal form and knocks it unconscious if the damage reduces it to 0 hit points.",,,30 feet,30,"V, S",True,True,False,,False,no,Up to 24 hours,yes,True,1 action,8th-level,8,8,Transmutation,Druid,[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
animate-construct,Animate Construct,"Deep Magic: clockwork This spell animates a carefully prepared construct of Tiny size. The object acts immediately, on your turn, and can attack your opponents to the best of its ability. You can direct it not to attack, to attack particular enemies, or to perform other actions. You choose the object to animate, and you can change that choice each time you cast the spell. The cost of the body to be animated is 10 gp x its hit points. The body can be reused any number of times, provided it isn't severely damaged or destroyed. If no prepared construct body is available, you can animate a mass of loose metal or stone instead. Before casting, the loose objects must be arranged in a suitable shape (taking up to a minute), and the construct's hit points are halved. An animated construct has a Constitution of 10, Intelligence and Wisdom 3, and Charisma 1. Other characteristics are determined by the construct's size as follows. Size HP AC Attack STR DEX Spell Slot Tiny 15 12 +3, 1d4+4 4 16 1st Small 25 13 +4, 1d8+2 6 14 2nd Medium 40 14 +5, 2d6+1 10 12 3rd Large 50 15 +6, 2d10+2 14 10 4th Huge 80 16 +8, 2d12+4 18 8 5th Gargantuan 100 17 +10, 4d8+6 20 6 6th","Casting this spell using higher level spell slots allows you to increase the size of the construct animated, as shown on the table.",,30 Feet,30,"V, S, M",True,True,True,,False,no,10 Minutes,no,False,1 action,1st-level,1,1,transmutation,Wizard,['wizard'],,,dmag-e,Deep Magic Extended,http://open5e.com/legal,https://koboldpress.com
animate-dead,Animate Dead,"This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the DM has the creature's game statistics). 

On each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete. 

The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.","When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones.",phb 212,10 feet,10,"V, S, M",True,True,True,"A drop of blood, a piece of flesh, and a pinch of bone dust.",False,no,Instantaneous,no,False,1 minute,3rd-level,3,3,Necromancy,"Cleric, Wizard","['cleric', 'wizard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
animate-dead-a5e,Animate Dead,"You animate a mortal's remains to become your undead servant.

If the spell is cast upon bones you create a skeleton, and if cast upon a corpse you choose to create a skeleton or a zombie. The Narrator has the undead's statistics.

While it is within 60 feet you can use a bonus action to mentally command the undead. When you command multiple undead using this spell, you must give them all the same command. You may decide the action the undead takes and where it moves during its next turn, or you can issue a general command, such as guarding an area. If not given a command, the undead only defends itself. The undead continues to follow a command until its task is complete.

The undead is under your control for 24 hours, after which it stops obeying any commands. You must cast this spell on the undead before the spell ends to maintain control of it for another 24 hours.

Casting the spell in this way reasserts control over up to 4 of your previously-animated undead instead of animating a new one.",You create or reassert control over 2 additional undead for each slot level above 3rd. When commanding more than 3 undead they make group attack rolls (see page 454 in Chapter 8: Combat).,,touch,1,"V, S, M",True,True,True,,False,no,Instantaneous,no,False,1 minute,3rd-level,3,3,Necromancy,"Cleric, Wizard",[],,,a5e,Level Up Advanced 5e,http://open5e.com/legal,https://a5esrd.com/a5esrd
animate-ghoul,Animate Ghoul,"You raise one Medium or Small humanoid corpse as a ghoul under your control. Any class levels or abilities the creature had in life are gone, replaced by the standard ghoul stat block.
","When you cast this spell using a 3rd-level spell slot, it can be used on the corpse of a Large humanoid to create a Large ghoul. When you cast this spell using a spell slot of 4th level or higher, this spell creates a ghast, but the material component changes to an onyx gemstone worth at least 200 gp.",,Touch,1,"V, S, M",True,True,True,piece of rotting flesh and an onyx gemstone worth 100 gp,False,no,Instantaneous,no,False,1 action,2nd-level,2,2,necromancy,"Cleric, Sorcerer, Wizard","['cleric', 'sorcerer', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
animate-greater-undead,Animate Greater Undead,"**Animate greater undead** creates an undead servant from a pile of bones or from the corpse of a Large or Huge humanoid within range. The spell imbues the target with a foul mimicry of life, raising it as an undead skeleton or zombie. A skeleton uses the stat block of a minotaur skeleton, or a zombie uses the stat block of an ogre zombie, unless a more appropriate stat block is available.

The creature is under your control for 24 hours, after which it stops obeying your commands. To maintain control of the creature for another 24 hours, you must cast this spell on it again while you have it controlled. Casting the spell for this purpose reasserts your control over up to four creatures you have previously animated rather than animating a new one.
","When you cast this spell using a spell slot of 7th level or higher, you can reanimate one additional creature for each slot level above 6th.",,15 feet,15,"V, S, M",True,True,True,"a pint of blood, a pound of flesh, and an ounce of bone dust, all of which the spell consumes",False,no,Instantaneous,no,False,1 hour,6th-level,6,6,necromancy,"Cleric, Wizard","['cleric', 'wizard']",,,dmag,Deep Magic 5e,http://open5e.com/legal,https://koboldpress.com/kpstore/product/deep-magic-for-5th-edition-hardcover/
animate-objects,Animate Objects,"Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points. 
As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.
### Animated Object Statistics 
| Size | HP | AC | Attack | Str | Dex |
|--------|----|----|----------------------------|-----|-----|
| Tiny | 20 | 18 | +8 to hit, 1d4 + 4 damage | 4 | 18 |
| Small | 25 | 16 | +6 to hit, 1d8 + 2 damage | 6 | 14 |
| Medium | 40 | 13 | +5 to hit, 2d6 + 1 damage | 10 | 12 |
| Large | 50 | 10 | +6 to hit, 2d10 + 2 damage | 14 | 10 |
| Huge | 80 | 10 | +8 to hit, 2d12 + 4 damage | 18 | 6 | 

An animated object is a construct with AC, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 feet; if the object lacks legs or other appendages it can use for locomotion, it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has blindsight with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 hit points, it reverts to its original object form, and any remaining damage carries over to its original object form. If you command an object to attack, it can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The DM might rule that a specific object inflicts slashing or piercing damage based on its form.","If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th.",phb 213,120 feet,120,"V, S",True,True,False,,False,no,Up to 1 minute,yes,True,1 action,5th-level,5,5,Transmutation,"Bard, Sorcerer, Wizard","['bard', 'sorcerer', 'wizard']",,,wotc-srd,5e Core Rules,http://open5e.com/legal,http://dnd.wizards.com/articles/features/systems-reference-document-srd
